login_frequency,feature_usage_count,support_ticket_volume,payment_amount,account_age,churned
10.0,4.0,3.0,89.9,1800,0
8.0,3.0,2.0,42.1,2160,0
8.0,3.0,4.0,54.4,540,0
10.0,4.0,3.0,94.4,270,1
12.0,5.0,3.0,75.3,90,0
7.0,3.0,3.0,78.9,1410,0
13.0,6.0,0.0,79.2,930,0
5.0,1.0,0.0,20.15,1500,0
9.0,3.0,4.0,79.85,300,0
6.0,2.0,1.0,49.05,30,0
4.0,1.0,1.0,20.4,1560,0
16.0,7.0,1.0,111.6,1920,0
4.0,2.0,0.0,24.25,1860,0
11.0,4.0,0.0,64.5,90,0
16.0,7.0,4.0,110.5,1680,0
6.0,2.0,3.0,55.65,1380,0
7.0,3.0,2.0,54.65,240,0
13.0,5.0,4.0,74.75,900,0
9.0,2.0,1.0,25.9,1350,0
4.0,2.0,3.0,79.35,30,1
6.0,3.0,2.0,50.55,330,0
5.0,2.0,4.0,75.15,210,1
14.0,6.0,1.0,103.8,1260,0
4.0,1.0,0.0,20.15,1470,0
11.0,5.0,4.0,99.3,270,0
11.0,3.0,2.0,62.15,1050,0
2.0,1.0,2.0,20.65,1440,0
3.0,1.0,2.0,19.95,1380,0
4.0,1.0,3.0,33.75,870,0
8.0,3.0,5.0,82.05,900,0
7.0,2.0,1.0,74.7,30,0
14.0,7.0,1.0,84.0,1980,0
16.0,7.0,3.0,111.05,1950,0
12.0,6.0,3.0,100.9,2160,0
7.0,3.0,5.0,78.95,360,1
14.0,5.0,1.0,66.85,2130,0
8.0,1.0,1.0,21.05,150,1
2.0,1.0,1.0,21.0,1560,0
13.0,5.0,4.0,98.5,750,1
2.0,1.0,0.0,20.2,30,0
2.0,1.0,0.0,19.45,30,0
11.0,5.0,3.0,95.0,1140,0
10.0,3.0,4.0,45.55,1980,0
17.0,7.0,2.0,110.0,2040,1
0.0,0.0,2.0,24.3,150,0
12.0,6.0,6.0,104.15,2160,0
2.0,1.0,2.0,30.15,960,0
10.0,4.0,7.0,94.35,1290,0
6.0,1.0,0.0,19.4,2160,0
12.0,5.0,3.0,96.75,1650,1
11.0,4.0,2.0,57.95,1560,0
8.0,4.0,3.0,91.65,1290,0
7.0,2.0,4.0,76.5,1110,1
13.0,4.0,0.0,54.6,1920,0
10.0,4.0,5.0,89.85,90,0
6.0,1.0,2.0,31.05,1080,0
12.0,5.0,4.0,100.25,300,1
5.0,1.0,0.0,20.65,1230,0
9.0,4.0,4.0,85.2,810,0
11.0,5.0,4.0,99.8,1680,0
3.0,1.0,0.0,20.7,180,0
9.0,2.0,3.0,74.4,90,1
6.0,2.0,2.0,50.7,210,0
5.0,1.0,2.0,20.85,120,0
8.0,4.0,3.0,88.95,990,0
7.0,3.0,4.0,78.05,810,1
7.0,2.0,0.0,23.55,2160,0
4.0,1.0,1.0,19.75,30,0
9.0,4.0,2.0,56.45,2130,0
7.0,3.0,4.0,85.95,390,0
11.0,5.0,5.0,58.6,750,1
5.0,2.0,0.0,50.55,2010,0
3.0,1.0,6.0,35.45,30,1
4.0,1.0,2.0,44.35,60,1
6.0,2.0,1.0,25.7,1290,0
4.0,2.0,3.0,75.0,690,0
3.0,1.0,0.0,20.2,1920,0
3.0,1.0,2.0,19.6,1710,0
6.0,1.0,4.0,70.45,30,1
17.0,8.0,2.0,88.05,2160,0
11.0,5.0,2.0,71.15,240,1
10.0,5.0,5.0,101.05,1830,0
8.0,4.0,3.0,84.3,1920,0
5.0,2.0,4.0,23.95,2130,0
16.0,6.0,3.0,99.05,1950,0
3.0,1.0,3.0,19.6,90,0
3.0,1.0,3.0,45.65,30,1
9.0,4.0,3.0,64.5,900,0
11.0,5.0,1.0,69.5,450,0
9.0,4.0,0.0,68.55,240,0
8.0,4.0,4.0,95.0,210,1
15.0,7.0,3.0,108.15,2100,0
15.0,7.0,1.0,86.1,1860,0
5.0,1.0,0.0,19.7,180,0
9.0,2.0,5.0,80.9,420,0
13.0,3.0,4.0,84.15,660,0
7.0,1.0,0.0,20.15,660,0
8.0,4.0,3.0,64.25,480,0
7.0,2.0,3.0,25.7,300,0
10.0,3.0,2.0,56.0,390,0
7.0,3.0,4.0,82.4,600,1
3.0,1.0,4.0,69.7,60,0
16.0,6.0,0.0,73.9,1590,0
3.0,1.0,3.0,20.6,330,0
2.0,1.0,0.0,19.9,2070,0
3.0,1.0,3.0,70.9,120,1
18.0,8.0,0.0,89.05,2160,0
6.0,3.0,4.0,45.3,1740,1
5.0,1.0,0.0,20.4,480,0
10.0,4.0,4.0,84.25,1290,0
17.0,6.0,2.0,104.4,60,1
15.0,6.0,0.0,81.95,420,0
11.0,4.0,4.0,94.85,1590,1
3.0,1.0,0.0,20.55,960,0
6.0,2.0,0.0,24.7,1020,0
8.0,2.0,3.0,74.45,450,1
6.0,2.0,5.0,76.45,210,1
13.0,6.0,3.0,105.35,450,0
4.0,1.0,1.0,20.55,1830,0
7.0,1.0,2.0,29.95,30,1
5.0,1.0,3.0,45.3,30,0
7.0,3.0,5.0,84.5,240,1
14.0,5.0,3.0,74.75,990,0
6.0,3.0,5.0,79.25,390,1
2.0,0.0,2.0,24.8,30,1
6.0,2.0,2.0,51.8,600,0
4.0,1.0,1.0,30.4,90,0
7.0,1.0,2.0,19.65,390,0
7.0,3.0,3.0,56.6,1200,0
11.0,5.0,1.0,71.9,1290,0
9.0,4.0,4.0,91.0,180,1
3.0,1.0,2.0,19.75,2070,0
16.0,7.0,3.0,109.7,2160,0
5.0,1.0,0.0,19.3,1770,0
13.0,5.0,1.0,96.55,600,0
6.0,2.0,0.0,24.1,720,0
15.0,7.0,2.0,111.35,1770,0
15.0,7.0,1.0,112.25,2160,0
6.0,1.0,1.0,20.75,30,0
12.0,5.0,2.0,101.9,810,0
7.0,3.0,1.0,80.05,420,0
13.0,6.0,6.0,105.55,2130,0
9.0,2.0,4.0,78.3,390,0
3.0,1.0,3.0,68.85,1320,0
8.0,3.0,4.0,79.95,990,0
14.0,5.0,1.0,55.45,2160,0
6.0,2.0,3.0,79.9,30,1
14.0,6.0,3.0,106.6,570,1
13.0,6.0,3.0,102.45,1920,0
3.0,1.0,5.0,46.0,60,1
1.0,0.0,3.0,25.25,30,0
4.0,1.0,0.0,19.75,1830,0
4.0,1.0,1.0,20.0,870,0
6.0,3.0,3.0,86.8,690,0
13.0,5.0,5.0,58.75,1710,0
11.0,4.0,1.0,45.25,2160,0
11.0,5.0,0.0,56.6,1980,0
17.0,7.0,3.0,84.2,1950,0
8.0,2.0,3.0,80.0,240,0
6.0,1.0,4.0,70.15,120,1
6.0,2.0,1.0,24.75,2130,0
3.0,1.0,1.0,20.2,30,0
4.0,2.0,0.0,50.05,120,1
5.0,1.0,0.0,19.35,360,0
8.0,3.0,4.0,50.6,720,0
12.0,6.0,0.0,81.15,930,0
9.0,2.0,3.0,55.2,30,1
12.0,4.0,3.0,89.9,900,0
15.0,7.0,0.0,85.3,1410,0
18.0,7.0,3.0,108.0,1620,0
13.0,5.0,5.0,93.5,1500,0
10.0,3.0,3.0,84.6,30,1
5.0,1.0,2.0,20.25,2160,0
5.0,2.0,1.0,25.15,870,0
9.0,3.0,3.0,54.4,60,1
4.0,1.0,1.0,29.6,300,0
6.0,2.0,3.0,73.15,540,0
10.0,4.0,3.0,95.0,330,1
3.0,1.0,2.0,19.75,480,0
19.0,7.0,1.0,86.6,2160,0
18.0,7.0,1.0,109.2,2160,0
11.0,5.0,1.0,74.7,1230,0
13.0,5.0,4.0,94.4,1950,0
9.0,3.0,3.0,54.8,390,0
8.0,2.0,6.0,75.35,120,0
9.0,4.0,4.0,65.0,1230,0
5.0,2.0,5.0,74.4,450,1
6.0,2.0,3.0,48.55,30,1
13.0,6.0,4.0,99.0,1260,0
11.0,5.0,3.0,93.5,1530,0
2.0,1.0,6.0,70.4,60,1
6.0,2.0,2.0,40.2,30,1
16.0,7.0,0.0,83.7,960,0
3.0,1.0,1.0,19.85,300,0
11.0,5.0,1.0,59.55,2010,0
19.0,8.0,4.0,115.1,1830,0
18.0,8.0,1.0,114.35,1500,0
3.0,1.0,4.0,44.6,60,1
7.0,3.0,6.0,45.0,870,0
5.0,2.0,4.0,41.15,90,1
14.0,6.0,3.0,106.9,390,1
12.0,4.0,3.0,89.85,1710,0
9.0,4.0,1.0,49.85,930,0
16.0,8.0,2.0,113.3,1350,0
17.0,8.0,1.0,88.1,1830,0
6.0,2.0,3.0,24.9,1500,0
12.0,6.0,2.0,105.0,570,0
5.0,1.0,0.0,19.35,1770,1
5.0,2.0,5.0,24.25,2130,0
9.0,4.0,3.0,94.45,480,1
15.0,4.0,1.0,59.75,1710,0
1.0,0.0,4.0,24.8,30,1
13.0,6.0,3.0,107.05,600,0
2.0,1.0,3.0,70.6,30,1
13.0,4.0,2.0,85.4,150,1
13.0,6.0,5.0,105.05,1560,1
10.0,4.0,3.0,64.95,630,0
8.0,4.0,1.0,55.0,420,0
6.0,2.0,2.0,50.55,150,0
8.0,3.0,2.0,55.15,180,0
8.0,2.0,4.0,51.2,300,0
6.0,2.0,0.0,25.4,30,0
8.0,3.0,2.0,54.45,2040,0
10.0,4.0,3.0,95.15,540,1
4.0,2.0,3.0,76.0,660,0
7.0,1.0,3.0,44.35,600,0
3.0,1.0,5.0,70.0,30,1
10.0,2.0,5.0,74.5,240,1
5.0,1.0,5.0,44.85,300,1
7.0,2.0,5.0,76.1,720,1
10.0,4.0,4.0,61.2,1050,0
9.0,4.0,1.0,86.8,690,0
11.0,3.0,4.0,89.35,180,0
2.0,1.0,0.0,19.7,360,0
4.0,1.0,0.0,20.25,30,0
7.0,2.0,3.0,76.05,2130,0
11.0,5.0,3.0,100.8,1050,0
12.0,5.0,2.0,74.55,1200,0
5.0,2.0,4.0,73.6,30,1
8.0,3.0,2.0,64.9,690,0
9.0,4.0,5.0,95.45,120,1
9.0,4.0,1.0,90.4,120,0
14.0,5.0,0.0,60.3,2040,0
9.0,3.0,3.0,81.85,1140,0
7.0,2.0,0.0,24.8,1560,0
5.0,2.0,3.0,74.9,960,1
11.0,5.0,0.0,75.55,870,0
13.0,5.0,3.0,101.15,1140,0
17.0,6.0,2.0,78.75,1440,0
3.0,1.0,1.0,19.25,30,0
13.0,4.0,1.0,89.05,660,0
17.0,8.0,2.0,115.05,1290,0
4.0,1.0,3.0,69.35,150,0
6.0,2.0,5.0,80.6,150,1
15.0,7.0,3.0,110.05,1530,0
4.0,1.0,0.0,19.9,2130,0
14.0,6.0,2.0,80.3,1140,1
10.0,4.0,3.0,93.15,720,1
10.0,4.0,2.0,91.5,1050,0
17.0,7.0,1.0,82.45,1620,1
10.0,5.0,1.0,60.0,2160,0
6.0,1.0,2.0,44.8,30,0
5.0,2.0,2.0,48.6,270,0
10.0,5.0,2.0,60.05,2070,0
13.0,6.0,2.0,102.7,1560,0
6.0,3.0,2.0,82.9,330,0
3.0,1.0,3.0,70.35,60,1
3.0,1.0,2.0,35.9,840,0
8.0,3.0,4.0,82.65,510,0
4.0,1.0,0.0,19.85,1050,0
2.0,1.0,0.0,19.2,240,0
12.0,5.0,3.0,94.9,1380,0
6.0,2.0,3.0,73.85,210,1
9.0,3.0,5.0,80.6,60,1
17.0,6.0,2.0,75.8,2040,1
14.0,6.0,4.0,104.6,1290,1
17.0,8.0,1.0,88.15,2040,0
10.0,4.0,3.0,94.8,1080,0
12.0,6.0,3.0,103.4,1890,1
11.0,3.0,0.0,54.65,960,0
17.0,8.0,2.0,85.75,2130,0
11.0,5.0,4.0,67.45,1980,0
3.0,1.0,0.0,20.5,1890,0
4.0,1.0,0.0,20.25,1230,0
5.0,2.0,3.0,72.1,30,0
9.0,3.0,3.0,90.4,60,1
6.0,1.0,0.0,19.45,2100,0
6.0,2.0,2.0,44.95,690,0
12.0,5.0,3.0,97.0,1920,0
12.0,5.0,1.0,62.8,1110,0
4.0,1.0,3.0,44.6,510,0
7.0,3.0,4.0,89.15,210,0
10.0,4.0,5.0,84.8,120,1
6.0,2.0,3.0,41.9,630,1
6.0,2.0,3.0,80.25,300,1
11.0,3.0,4.0,54.1,480,0
14.0,6.0,2.0,105.25,1920,0
5.0,1.0,3.0,30.75,810,1
10.0,5.0,3.0,97.1,1260,0
4.0,1.0,1.0,20.2,150,0
12.0,5.0,1.0,98.8,1230,0
5.0,2.0,2.0,50.3,1740,0
4.0,1.0,1.0,20.55,1410,0
5.0,2.0,2.0,75.9,540,0
10.0,4.0,4.0,96.5,150,1
10.0,3.0,2.0,59.95,690,0
5.0,1.0,0.0,19.15,30,0
11.0,5.0,3.0,98.65,2130,0
19.0,8.0,1.0,112.6,2160,0
5.0,1.0,1.0,20.6,990,0
10.0,3.0,4.0,85.65,60,1
7.0,2.0,2.0,35.75,720,0
13.0,6.0,2.0,99.75,1680,0
10.0,4.0,3.0,96.1,1110,0
16.0,7.0,3.0,85.1,1290,0
2.0,0.0,4.0,25.35,30,0
15.0,6.0,1.0,104.95,750,1
18.0,8.0,2.0,89.65,1830,0
8.0,4.0,1.0,86.75,510,0
9.0,4.0,2.0,86.2,1230,0
5.0,2.0,2.0,50.65,30,1
13.0,6.0,0.0,64.8,2160,0
9.0,4.0,5.0,90.85,30,1
15.0,6.0,3.0,108.1,1440,0
2.0,1.0,1.0,19.95,330,1
10.0,4.0,4.0,85.45,1650,1
11.0,5.0,1.0,54.75,1260,0
10.0,4.0,3.0,90.4,1320,0
3.0,1.0,4.0,44.0,30,0
9.0,4.0,4.0,95.6,810,0
15.0,7.0,2.0,84.8,810,0
4.0,1.0,2.0,44.3,60,0
4.0,1.0,2.0,19.9,570,0
10.0,4.0,3.0,95.05,1260,0
18.0,8.0,2.0,90.05,1980,0
15.0,7.0,3.0,109.9,990,0
5.0,2.0,3.0,73.95,1020,1
10.0,4.0,0.0,54.6,990,0
4.0,1.0,1.0,20.05,690,0
5.0,1.0,3.0,19.75,960,0
4.0,1.0,1.0,20.05,330,0
11.0,5.0,4.0,99.45,2070,1
8.0,3.0,1.0,55.9,2040,0
4.0,1.0,0.0,19.7,600,0
4.0,1.0,0.0,19.8,2160,0
12.0,5.0,5.0,95.4,1800,0
10.0,4.0,5.0,93.95,960,0
3.0,1.0,0.0,19.9,30,1
2.0,1.0,0.0,19.6,30,1
7.0,3.0,5.0,81.35,90,1
9.0,2.0,2.0,24.45,1380,0
8.0,2.0,4.0,74.95,870,0
13.0,5.0,2.0,87.35,1530,0
4.0,1.0,6.0,70.65,1440,0
6.0,2.0,5.0,73.25,480,0
14.0,6.0,2.0,98.7,2100,0
6.0,2.0,1.0,24.8,1200,0
6.0,3.0,6.0,83.3,660,1
5.0,2.0,5.0,75.3,30,1
5.0,2.0,3.0,24.3,150,0
2.0,1.0,4.0,69.85,210,0
16.0,6.0,1.0,100.55,870,0
6.0,2.0,1.0,25.7,1320,0
6.0,3.0,2.0,40.7,300,0
6.0,2.0,3.0,51.65,1650,0
12.0,6.0,4.0,105.1,1560,0
9.0,3.0,3.0,85.95,300,0
6.0,2.0,4.0,75.6,540,0
9.0,4.0,0.0,58.25,2040,0
3.0,1.0,1.0,19.4,1830,1
15.0,6.0,0.0,65.2,2160,0
9.0,3.0,3.0,53.45,60,0
5.0,1.0,3.0,45.4,360,1
2.0,1.0,1.0,19.75,1230,0
6.0,3.0,0.0,44.45,780,0
5.0,1.0,1.0,20.85,1080,0
19.0,8.0,2.0,114.05,2160,0
9.0,4.0,2.0,89.85,1050,0
10.0,3.0,2.0,55.05,30,0
14.0,7.0,1.0,112.95,480,0
11.0,5.0,4.0,101.55,1470,0
19.0,8.0,2.0,114.65,1620,0
10.0,4.0,2.0,64.8,540,0
6.0,2.0,3.0,80.4,1080,0
13.0,6.0,4.0,105.9,1800,1
6.0,1.0,3.0,69.55,30,1
6.0,2.0,1.0,25.05,1560,0
10.0,4.0,4.0,94.75,240,0
13.0,6.0,2.0,105.5,2160,0
8.0,2.0,0.0,24.7,1920,0
15.0,5.0,0.0,69.75,660,0
12.0,5.0,2.0,60.2,1800,0
6.0,2.0,3.0,81.05,840,1
4.0,2.0,1.0,24.4,1830,0
15.0,6.0,3.0,104.15,720,0
12.0,5.0,1.0,92.9,840,0
17.0,6.0,2.0,80.8,900,0
8.0,1.0,0.0,20.0,60,0
7.0,2.0,3.0,75.1,30,0
5.0,1.0,1.0,19.65,180,0
11.0,4.0,2.0,69.45,720,0
12.0,5.0,4.0,101.15,120,1
13.0,5.0,4.0,99.8,210,1
18.0,8.0,1.0,116.05,2160,0
4.0,2.0,0.0,40.05,2100,0
14.0,6.0,4.0,102.1,1920,0
10.0,4.0,4.0,89.7,2160,0
4.0,1.0,0.0,19.9,1320,0
6.0,2.0,3.0,55.95,390,1
3.0,1.0,0.0,20.65,510,0
6.0,2.0,2.0,55.0,30,1
13.0,4.0,2.0,70.05,270,0
7.0,3.0,0.0,53.6,720,0
4.0,2.0,4.0,74.7,30,1
8.0,3.0,5.0,80.25,720,1
10.0,5.0,0.0,76.05,1050,0
15.0,6.0,1.0,75.7,210,0
10.0,4.0,1.0,96.1,150,1
5.0,1.0,4.0,69.0,450,1
6.0,1.0,1.0,19.65,330,0
7.0,3.0,2.0,45.3,1440,1
5.0,2.0,5.0,81.45,600,0
15.0,7.0,4.0,108.5,2160,0
8.0,3.0,4.0,83.55,240,1
7.0,3.0,3.0,84.5,2160,0
13.0,5.0,4.0,100.15,450,0
18.0,7.0,0.0,88.6,2160,0
10.0,4.0,0.0,52.55,0,0
7.0,2.0,6.0,74.35,30,1
13.0,6.0,3.0,104.8,1890,0
7.0,3.0,2.0,59.0,60,0
8.0,2.0,4.0,74.4,60,1
11.0,4.0,3.0,64.05,1830,0
3.0,1.0,1.0,20.4,30,0
9.0,3.0,3.0,43.75,660,1
10.0,4.0,0.0,60.9,840,0
4.0,1.0,0.0,19.8,2100,0
6.0,1.0,5.0,28.45,150,1
14.0,6.0,4.0,99.7,360,1
18.0,8.0,3.0,116.25,1020,0
10.0,3.0,4.0,80.7,2130,0
12.0,4.0,2.0,65.2,2100,0
10.0,4.0,2.0,84.05,1560,0
15.0,7.0,1.0,79.45,2070,0
11.0,5.0,4.0,94.1,600,1
8.0,3.0,3.0,78.0,330,0
10.0,4.0,2.0,94.2,60,1
8.0,3.0,2.0,80.5,180,1
4.0,1.0,3.0,19.85,30,0
12.0,5.0,1.0,94.3,600,0
14.0,6.0,3.0,106.45,1830,0
6.0,2.0,4.0,74.35,150,1
14.0,6.0,2.0,105.45,1680,0
18.0,6.0,1.0,95.0,900,0
14.0,6.0,2.0,104.8,1200,1
7.0,3.0,0.0,54.3,840,0
5.0,1.0,4.0,70.05,150,0
5.0,2.0,4.0,75.2,810,1
7.0,1.0,0.0,20.05,360,0
14.0,6.0,6.0,105.4,2010,0
5.0,2.0,3.0,51.6,870,0
8.0,3.0,3.0,85.5,1650,0
5.0,2.0,4.0,75.6,690,1
10.0,5.0,5.0,100.05,1020,1
13.0,4.0,5.0,91.25,1560,0
19.0,8.0,3.0,115.75,2160,0
11.0,5.0,2.0,94.7,1740,0
6.0,1.0,1.0,19.6,1050,0
12.0,6.0,3.0,99.9,1680,0
4.0,1.0,2.0,21.1,720,0
2.0,1.0,2.0,20.05,2100,0
8.0,2.0,4.0,79.95,60,0
16.0,6.0,5.0,107.15,2040,0
8.0,3.0,4.0,85.0,30,1
10.0,4.0,4.0,89.55,360,0
9.0,3.0,4.0,81.55,1890,0
9.0,4.0,2.0,58.45,990,0
12.0,4.0,3.0,95.65,2070,0
12.0,6.0,1.0,80.6,1800,0
18.0,8.0,2.0,113.1,2160,0
6.0,3.0,2.0,58.95,330,0
2.0,1.0,2.0,19.55,30,0
12.0,3.0,5.0,86.05,300,1
8.0,3.0,0.0,45.55,390,1
5.0,2.0,3.0,78.95,1020,0
8.0,3.0,4.0,86.3,1170,1
16.0,6.0,4.0,105.05,1950,0
13.0,6.0,4.0,101.9,1500,0
7.0,1.0,1.0,19.75,450,0
15.0,7.0,4.0,110.3,2160,0
16.0,8.0,4.0,115.6,2160,0
3.0,1.0,1.0,19.35,1650,0
5.0,2.0,0.0,25.6,690,0
6.0,3.0,3.0,80.35,960,1
14.0,5.0,2.0,68.75,1680,0
3.0,1.0,0.0,19.9,30,0
12.0,5.0,0.0,70.6,1140,0
6.0,1.0,3.0,70.2,330,0
6.0,2.0,0.0,49.3,30,0
16.0,6.0,1.0,107.25,1680,0
6.0,2.0,2.0,23.6,90,0
12.0,4.0,3.0,69.7,210,0
14.0,5.0,5.0,99.5,1770,0
11.0,4.0,1.0,64.3,210,0
13.0,5.0,2.0,70.85,2130,0
11.0,5.0,1.0,101.9,450,0
13.0,6.0,1.0,73.5,2130,0
13.0,5.0,6.0,100.25,1050,1
8.0,3.0,0.0,40.4,330,0
5.0,1.0,0.0,19.25,1800,0
9.0,4.0,0.0,59.6,1410,0
10.0,4.0,0.0,64.9,330,0
12.0,5.0,4.0,100.3,1680,1
16.0,7.0,1.0,110.85,840,0
13.0,6.0,4.0,81.05,1830,0
12.0,5.0,4.0,98.05,930,0
4.0,1.0,4.0,70.5,270,0
11.0,5.0,4.0,94.55,1050,0
4.0,1.0,0.0,19.65,60,0
6.0,1.0,1.0,19.0,360,1
7.0,2.0,4.0,75.3,30,1
8.0,4.0,4.0,89.2,120,1
6.0,1.0,0.0,19.0,30,0
4.0,1.0,5.0,20.0,90,0
8.0,3.0,3.0,85.7,30,1
10.0,4.0,3.0,63.25,1560,0
5.0,1.0,0.0,20.1,150,0
12.0,6.0,4.0,99.15,2160,0
17.0,8.0,0.0,90.4,2130,0
15.0,7.0,1.0,111.9,2160,0
5.0,2.0,1.0,24.9,1380,0
16.0,7.0,4.0,83.5,1890,0
9.0,4.0,5.0,84.3,900,0
3.0,1.0,4.0,45.6,30,0
11.0,5.0,4.0,61.65,360,1
13.0,5.0,3.0,54.85,480,0
8.0,4.0,2.0,65.55,120,0
9.0,4.0,5.0,90.35,1530,0
3.0,1.0,1.0,20.4,1950,0
7.0,2.0,1.0,74.55,480,0
6.0,1.0,1.0,19.95,60,0
5.0,2.0,5.0,74.25,1980,0
16.0,7.0,1.0,108.65,1380,0
18.0,7.0,1.0,109.55,960,0
16.0,7.0,3.0,86.65,2160,0
12.0,6.0,1.0,81.0,1140,0
4.0,2.0,1.0,47.85,1530,0
18.0,8.0,4.0,114.55,2160,0
16.0,6.0,5.0,105.25,1950,1
2.0,1.0,4.0,29.95,270,1
10.0,5.0,0.0,65.0,270,1
2.0,1.0,1.0,20.55,1980,0
16.0,7.0,4.0,109.8,1320,0
11.0,5.0,1.0,69.5,1500,0
7.0,2.0,6.0,48.85,450,0
1.0,0.0,3.0,25.25,240,0
15.0,6.0,1.0,102.85,1980,0
12.0,5.0,1.0,87.55,1710,0
7.0,3.0,5.0,78.55,210,0
4.0,1.0,3.0,34.55,300,0
12.0,5.0,5.0,92.05,1860,0
7.0,3.0,3.0,85.05,1200,0
5.0,1.0,2.0,19.7,600,0
3.0,1.0,0.0,20.0,210,1
9.0,4.0,3.0,95.15,750,0
9.0,4.0,4.0,84.25,690,0
12.0,6.0,5.0,104.6,1980,0
16.0,7.0,2.0,111.65,2160,0
10.0,4.0,3.0,90.05,1470,1
15.0,7.0,3.0,110.75,1290,1
8.0,3.0,2.0,55.0,1380,0
16.0,8.0,0.0,89.85,2160,0
5.0,1.0,0.0,20.35,300,0
10.0,4.0,1.0,54.55,1200,0
13.0,6.0,6.0,105.5,1950,1
13.0,5.0,5.0,99.45,930,0
13.0,6.0,1.0,70.9,2040,0
14.0,6.0,3.0,104.55,1680,1
8.0,3.0,6.0,85.25,300,1
4.0,2.0,0.0,25.4,2040,0
10.0,2.0,2.0,56.15,1290,1
8.0,3.0,4.0,89.55,30,1
8.0,4.0,3.0,89.85,1470,0
7.0,2.0,1.0,25.25,450,0
9.0,4.0,4.0,94.55,600,1
3.0,1.0,3.0,45.7,30,1
12.0,5.0,1.0,69.65,1500,0
10.0,4.0,3.0,89.5,60,1
3.0,1.0,4.0,70.0,720,0
5.0,1.0,4.0,69.55,90,1
4.0,2.0,6.0,74.6,30,1
6.0,1.0,1.0,20.1,1050,0
4.0,2.0,0.0,24.8,510,0
6.0,1.0,1.0,19.65,240,1
8.0,4.0,2.0,95.1,300,0
16.0,8.0,2.0,88.85,2040,0
13.0,6.0,2.0,78.8,1350,0
4.0,1.0,1.0,19.85,60,1
4.0,1.0,0.0,20.35,1110,0
3.0,0.0,2.0,24.25,120,1
5.0,1.0,2.0,45.25,300,0
5.0,1.0,1.0,20.05,30,0
10.0,5.0,4.0,69.55,1950,0
3.0,1.0,0.0,19.5,1710,0
5.0,2.0,3.0,74.75,90,0
3.0,1.0,3.0,69.65,60,1
3.0,1.0,4.0,30.2,1470,0
3.0,1.0,3.0,45.65,120,1
13.0,5.0,2.0,57.8,2100,0
4.0,1.0,2.0,19.85,1590,0
9.0,2.0,1.0,25.55,1590,0
5.0,2.0,6.0,75.05,30,1
6.0,2.0,1.0,24.85,660,0
7.0,3.0,3.0,49.15,1560,1
14.0,7.0,1.0,110.35,1950,0
6.0,2.0,0.0,24.55,1440,0
3.0,1.0,2.0,34.7,60,1
13.0,6.0,4.0,107.95,90,0
8.0,3.0,4.0,81.4,1350,0
6.0,2.0,3.0,80.0,30,1
